,date,open,high,close,low,volume,amount,avg5,avg10,avg15,avg20
0,2008-05-06,2.83,3.54,2.97,2.8,9288752.0,252656898.0,2.97,2.97,2.97,2.97
1,2008-05-07,2.76,2.85,2.67,2.67,4374872.0,105259594.0,2.8200000000000003,2.8200000000000003,2.8200000000000003,2.8200000000000003
2,2008-05-08,2.53,2.6,2.53,2.46,2767657.0,61586053.0,2.723333333333333,2.723333333333333,2.723333333333333,2.723333333333333
3,2008-05-09,2.53,2.63,2.59,2.5,2289568.0,52018711.0,2.69,2.69,2.69,2.69
4,2008-05-12,2.54,2.64,2.53,2.37,2074584.0,45854733.0,2.658,2.658,2.658,2.658
5,2008-05-13,2.39,2.57,2.47,2.38,1396777.0,30650163.0,2.558,2.6266666666666665,2.6266666666666665,2.6266666666666665
6,2008-05-14,2.43,2.5,2.46,2.43,1305671.0,28492255.0,2.5159999999999996,2.6028571428571428,2.6028571428571428,2.6028571428571428
7,2008-05-15,2.47,2.6,2.51,2.47,1695086.0,37946298.0,2.512,2.5912499999999996,2.5912499999999996,2.5912499999999996
8,2008-05-16,2.49,2.51,2.42,2.38,1128279.0,24346870.0,2.4779999999999998,2.572222222222222,2.572222222222222,2.572222222222222
9,2008-05-19,2.42,2.49,2.44,2.39,752771.0,16305875.0,2.46,2.559,2.559,2.559
10,2008-05-20,2.41,2.46,2.3,2.3,1003129.0,21126258.0,2.4259999999999997,2.492,2.5354545454545456,2.5354545454545456
11,2008-05-21,2.26,2.3,2.28,2.15,1098614.0,21465355.0,2.3899999999999997,2.453,2.5141666666666667,2.5141666666666667
12,2008-05-22,2.22,2.28,2.17,2.17,670285.0,13187238.0,2.322,2.4170000000000003,2.487692307692308,2.487692307692308
13,2008-05-23,2.17,2.22,2.12,2.06,755078.0,14194257.0,2.2619999999999996,2.37,2.4614285714285713,2.4614285714285713
14,2008-05-26,2.13,2.13,2.03,2.02,527603.0,9588738.0,2.18,2.32,2.432666666666667,2.432666666666667
15,2008-05-27,2.03,2.08,2.06,2.02,279854.0,5073410.0,2.132,2.279,2.3720000000000003,2.409375
16,2008-05-28,2.07,2.11,2.09,2.03,607047.0,11143611.0,2.0940000000000003,2.242,2.3333333333333335,2.3905882352941177
17,2008-05-29,2.09,2.3,2.3,2.07,2584064.0,51607507.0,2.12,2.221,2.3179999999999996,2.3855555555555554
18,2008-05-30,2.34,2.51,2.47,2.29,4075562.0,86722004.0,2.1900000000000004,2.226,2.31,2.3899999999999997
19,2008-06-02,2.41,2.46,2.46,2.29,2265603.0,47964823.0,2.276,2.228,2.305333333333333,2.3935
20,2008-06-03,2.46,2.46,2.36,2.34,1245547.0,26157588.0,2.336,2.234,2.298,2.363
21,2008-06-04,2.32,2.36,2.25,2.23,1382543.0,27735339.0,2.368,2.231,2.284,2.3419999999999996
22,2008-06-05,2.21,2.33,2.29,2.21,930031.0,18866812.0,2.3659999999999997,2.243,2.2693333333333334,2.3299999999999996
23,2008-06-06,2.26,2.36,2.32,2.22,1087564.0,22023109.0,2.336,2.263,2.2626666666666666,2.3165
24,2008-06-10,2.19,2.24,2.09,2.09,612877.0,11564674.0,2.2619999999999996,2.269,2.2393333333333336,2.2945
25,2008-06-11,2.02,2.05,1.94,1.89,1089916.0,18720714.0,2.178,2.257,2.215333333333333,2.268
26,2008-06-12,1.9,1.95,1.94,1.88,672903.0,11420587.0,2.1159999999999997,2.242,2.1926666666666668,2.2419999999999995
27,2008-06-13,1.94,2.0,1.87,1.83,612804.0,10378869.0,2.032,2.1990000000000003,2.1726666666666667,2.21
28,2008-06-16,1.87,1.91,1.87,1.79,505911.0,8218969.0,1.9419999999999997,2.1390000000000002,2.156,2.1824999999999997
29,2008-06-17,1.88,1.97,1.95,1.82,976840.0,16590823.0,1.9140000000000001,2.088,2.150666666666667,2.1579999999999995
30,2008-06-18,1.94,2.02,2.01,1.84,1026128.0,17830818.0,1.9280000000000002,2.053,2.1473333333333335,2.1435
31,2008-06-19,1.97,2.0,1.81,1.81,671501.0,11230903.0,1.902,2.009,2.1286666666666667,2.12
32,2008-06-20,1.76,1.87,1.76,1.63,1036018.0,16061555.0,1.8800000000000001,1.956,2.0926666666666667,2.0995
33,2008-06-23,1.72,1.75,1.59,1.58,660289.0,9623502.0,1.8239999999999998,1.8830000000000002,2.0340000000000003,2.073
34,2008-06-24,1.59,1.68,1.65,1.56,450840.0,6485928.0,1.764,1.839,1.98,2.0540000000000003
35,2008-06-25,1.64,1.73,1.72,1.63,498875.0,7497770.0,1.7060000000000002,1.8169999999999997,1.9373333333333334,2.037
36,2008-06-26,1.72,1.77,1.72,1.69,631471.0,9615669.0,1.688,1.795,1.902,2.0185
37,2008-06-27,1.69,1.69,1.59,1.57,622031.0,8957988.0,1.654,1.7670000000000001,1.855333333333333,1.983
38,2008-06-30,1.61,1.64,1.63,1.58,473289.0,6766789.0,1.6619999999999997,1.7429999999999999,1.8093333333333332,1.9410000000000003
39,2008-07-01,1.65,1.78,1.69,1.63,818804.0,12259781.0,1.67,1.717,1.7826666666666666,1.9025000000000003
40,2008-07-02,1.7,1.73,1.69,1.67,626175.0,9395229.0,1.6639999999999997,1.685,1.7659999999999998,1.8690000000000002
41,2008-07-03,1.68,1.76,1.73,1.64,771308.0,11747057.0,1.666,1.677,1.752,1.8429999999999995
42,2008-07-04,1.73,1.74,1.69,1.67,456146.0,6871166.0,1.686,1.67,1.7400000000000004,1.813
43,2008-07-07,1.69,1.77,1.76,1.69,705678.0,10889208.0,1.7119999999999997,1.687,1.732666666666667,1.7849999999999997
44,2008-07-08,1.74,1.83,1.8,1.74,819399.0,12953062.0,1.734,1.702,1.7226666666666672,1.7704999999999997
45,2008-07-09,1.78,1.86,1.85,1.78,958753.0,15523965.0,1.766,1.7150000000000003,1.7120000000000004,1.766
46,2008-07-10,1.83,1.86,1.79,1.79,705734.0,11349995.0,1.778,1.722,1.710666666666667,1.7585000000000002
47,2008-07-11,1.78,1.8,1.77,1.73,484653.0,7556962.0,1.794,1.7399999999999998,1.7113333333333334,1.7535000000000003
48,2008-07-14,1.76,1.94,1.94,1.75,1183430.0,19761038.0,1.83,1.7710000000000001,1.7346666666666668,1.7570000000000001
49,2008-07-15,2.02,2.05,1.94,1.93,2294695.0,40118397.0,1.8579999999999999,1.7960000000000005,1.7540000000000002,1.7564999999999997
50,2008-07-16,1.94,2.05,1.98,1.89,2170521.0,38049359.0,1.884,1.825,1.7713333333333336,1.7549999999999997
51,2008-07-17,1.98,2.02,1.92,1.89,1113512.0,19220571.0,1.9100000000000001,1.8439999999999999,1.7846666666666668,1.7605
52,2008-07-18,1.93,1.95,1.92,1.77,1231647.0,20103446.0,1.94,1.8670000000000002,1.8066666666666669,1.7685000000000002
53,2008-07-21,1.85,2.01,1.99,1.85,1716367.0,29708972.0,1.95,1.89,1.8306666666666669,1.7885000000000002
54,2008-07-22,1.99,2.19,2.08,1.95,2306388.0,42304783.0,1.9780000000000002,1.918,1.8566666666666671,1.81
55,2008-07-23,2.07,2.18,2.07,2.04,2017595.0,37665113.0,1.996,1.94,1.8820000000000003,1.8275
56,2008-07-24,2.08,2.17,2.17,2.07,1588805.0,29731628.0,2.0460000000000003,1.9780000000000002,1.9113333333333336,1.85
57,2008-07-25,2.17,2.24,2.21,2.11,1821239.0,35190136.0,2.104,2.022,1.9460000000000004,1.8810000000000002
58,2008-07-28,2.21,2.23,2.21,2.15,1710796.0,33196537.0,2.1480000000000006,2.0490000000000004,1.976,1.9100000000000001
59,2008-07-29,2.21,2.21,2.13,2.08,1033726.0,19501459.0,2.158,2.0680000000000005,1.9980000000000002,1.932
60,2008-07-30,2.1,2.22,2.08,2.06,851422.0,16105870.0,2.1599999999999997,2.0780000000000003,2.0133333333333336,1.9515
61,2008-07-31,2.08,2.08,2.0,1.99,565468.0,10105994.0,2.126,2.086,2.0273333333333334,1.9649999999999999
62,2008-08-01,1.96,2.02,2.0,1.92,560766.0,9791338.0,2.084,2.094,2.042666666666667,1.9805
63,2008-08-04,1.98,1.98,1.89,1.89,380095.0,6464225.0,2.0200000000000005,2.0840000000000005,2.0393333333333334,1.987
64,2008-08-05,1.89,1.91,1.77,1.76,426632.0,6912719.0,1.948,2.053,2.0280000000000005,1.9855
65,2008-08-06,1.72,1.75,1.66,1.64,2227292.0,33125162.0,1.864,2.0119999999999996,2.006666666666667,1.9759999999999998
66,2008-08-07,1.66,1.74,1.72,1.66,1787747.0,26928429.0,1.8080000000000003,1.9669999999999999,1.9933333333333332,1.9724999999999997
67,2008-08-08,1.73,1.73,1.57,1.57,1230647.0,17820260.0,1.722,1.9029999999999998,1.9699999999999998,1.9625
68,2008-08-11,1.54,1.55,1.43,1.41,992419.0,13011111.0,1.6300000000000001,1.825,1.9326666666666668,1.9369999999999998
69,2008-08-12,1.42,1.47,1.44,1.39,755403.0,9490995.0,1.564,1.7560000000000002,1.8900000000000001,1.9119999999999997
70,2008-08-13,1.43,1.5,1.46,1.4,630176.0,8042553.0,1.524,1.6939999999999997,1.8493333333333333,1.886
71,2008-08-14,1.46,1.51,1.47,1.44,686316.0,8968898.0,1.4739999999999998,1.641,1.8026666666666666,1.8635000000000002
72,2008-08-15,1.46,1.62,1.59,1.46,1876066.0,26137113.0,1.478,1.6000000000000003,1.7613333333333332,1.8470000000000002
73,2008-08-18,1.59,1.6,1.43,1.43,1361181.0,18141492.0,1.478,1.5539999999999998,1.7093333333333334,1.8190000000000002
74,2008-08-19,1.37,1.46,1.43,1.36,791025.0,9852804.0,1.4759999999999998,1.52,1.6626666666666667,1.7864999999999998
75,2008-08-20,1.42,1.57,1.56,1.38,1295935.0,17254551.0,1.496,1.51,1.6279999999999997,1.7610000000000003
