,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600171,上海贝岭,9.14,26.94,34.9009,19.5872,0.0914,72.6852,0.3393
1,000860,顺鑫农业,8.16,10.83,37.0183,28.1313,0.1339,259.7247,1.2367
2,600196,复星医药,7.13,14.31,37.6347,7.735,0.0768,54.0203,0.5364
3,600198,大唐电信,4.23,9.94,40.2645,10.5706,0.0496,106.3068,0.499
4,000629,*ST钒钛,4.09,6.03,20.7292,84.8736,0.21100000000000002,1405.3783,3.4942
5,600183,生益科技,3.34,8.46,14.0918,11.3255,0.0346,133.8664,0.4091
6,600160,巨化股份,,,,,,,
7,000606,神州易桥,,,,,,,
8,600666,奥瑞德,,,,,,,
9,600662,强生控股,,,,,,,
