,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600862,中航高科,,,,,,-2610.76,,,07-24
1,600531,豫光金铅,,,2.34,4.92,0.12,917.48,,,07-11
2,600807,天业股份,,,,,,-773.08,,,05-25
3,000632,三木集团,,,3.87,,,681.71,,,04-30
4,000682,东方电子,,,0.56,,,-2975.22,,,04-30
5,600844,*ST丹科,,,1.99,,,220.77,,,04-30
6,600895,张江高科,,,4.52,,,1076.87,,,04-30
7,000055,方大集团,,,3.48,,,305.29,,,04-30
8,600085,同仁堂,,,3.91,,,5301.69,,,04-30
9,600743,华远地产,,,0.33,,,52.46,-179.44,,04-30
10,600261,阳光照明,,,4.45,,,643.73,,,04-30
11,600830,香溢融通,,,2.75,,,327.67,,,04-30
12,000020,深华发A,,,1.03,,,65.96,,,04-30
13,000885,同力水泥,,,1.88,,,-1160.83,,,04-30
14,000411,英特集团,,,0.64,,,14.9,-101.56,,04-30
15,600657,信达地产,,,4.49,,,608.98,,,04-30
16,600677,航天通信,,,1.53,,,138.82,,,04-30
17,600191,华资实业,,,3.52,,,1622.12,,,04-30
18,000606,神州易桥,,,1.88,,,87.97,,,04-30
19,600766,园城黄金,,,1.49,,,-564.69,,,04-30
20,600856,中天能源,,,1.97,,,266.89,,,04-30
21,600872,中炬高新,,,2.73,,,483.31,,,04-30
22,600418,江淮汽车,,,4.58,,,2537.19,,,04-30
23,600062,华润双鹤,,,3.9,,,4126.0,,,04-30
24,600624,复旦复华,,,1.61,,,-792.07,,,04-30
25,000418,小天鹅A,,,5.5,,,1449.12,,,04-30
26,600115,东方航空,,,1.3,,,7315.96,,,04-30
27,600197,伊力特,,,3.41,,,1377.72,,,04-30
28,600771,广誉远,,,1.84,,,799.16,,,04-30
29,600877,*ST嘉陵,,,2.86,,,262.64,,,04-30
30,000797,中国武夷,,,3.15,,,-297.83,,,04-30
31,000838,财信发展,,,0.54,,,76.14,-130.99,,04-30
32,600613,神奇制药,,,1.58,,,-776.6,,,04-30
33,600084,中葡股份,,,3.11,,,830.42,,,04-30
34,600633,浙数文化,,,1.24,,,535.09,,,04-30
35,000403,ST生化,,,3.21,,,1048.63,,,04-30
36,600650,锦江投资,,,,,,230.3,,,04-30
37,600704,物产中大,,,3.81,,,1538.39,,,04-30
38,600759,洲际油气,,,-1.72,,,40.09,,,04-30
39,600848,上海临港,,,0.28,,,68.01,,,04-30
40,600883,博闻科技,,,2.32,,,117.75,,,04-30
41,601607,上海医药,,,4.86,,,3162.98,,,04-30
42,600090,同济堂,,,1.44,,,-1654.39,,,04-30
43,000410,*ST沈机,,,2.64,,,57.0,,,04-30
44,000517,荣安地产,,,3.34,,,1048.04,,,04-30
45,000536,华映科技,,,-0.13,,,135.28,-111.66,,04-30
46,000560,昆百大A,,,0.03,,,-871.73,,,04-30
47,600835,上海机电,,,5.17,,,6903.47,,,04-30
48,600888,新疆众和,,,2.34,,,638.05,,,04-30
49,000066,中国长城,,,2.59,,,426.33,,,04-30
50,600623,华谊集团,,,1.18,,,-2977.2,,,04-30
51,600643,爱建集团,,,4.19,,,-7916.03,,,04-30
52,600681,百川能源,,,1.81,,,223.82,,,04-30
53,000972,*ST中基,,,3.23,,,50.64,,,04-30
54,600770,综艺股份,,,2.2,,,597.34,,,04-30
55,600252,中恒集团,,,3.09,,,89.72,,,04-30
56,600789,鲁抗医药,,,3.22,,,1443.54,,,04-30
57,000661,长春高新,,,3.43,,,-142.49,,,04-30
58,600275,*ST昌鱼,,,3.05,,,679.78,,,04-30
59,000701,厦门信达,,,2.34,,,101.49,,,04-30
60,600704,物产中大,,,3.81,,,1538.39,,,04-30
61,600197,伊力特,,,3.41,,,1377.72,,,04-30
62,600771,广誉远,,,1.84,,,799.16,,,04-30
63,600877,*ST嘉陵,,,2.86,,,262.64,,,04-30
64,000797,中国武夷,,,3.15,,,-297.83,,,04-30
65,000838,财信发展,,,0.54,,,76.14,-130.99,,04-30
66,600613,神奇制药,,,1.58,,,-776.6,,,04-30
67,600084,中葡股份,,,3.11,,,830.42,,,04-30
68,600633,浙数文化,,,1.24,,,535.09,,,04-30
69,000403,ST生化,,,3.21,,,1048.63,,,04-30
70,600650,锦江投资,,,,,,230.3,,,04-30
71,000536,华映科技,,,-0.13,,,135.28,-111.66,,04-30
72,600759,洲际油气,,,-1.72,,,40.09,,,04-30
73,600848,上海临港,,,0.28,,,68.01,,,04-30
74,600883,博闻科技,,,2.32,,,117.75,,,04-30
75,601607,上海医药,,,4.86,,,3162.98,,,04-30
76,600090,同济堂,,,1.44,,,-1654.39,,,04-30
77,000410,*ST沈机,,,2.64,,,57.0,,,04-30
78,000517,荣安地产,,,3.34,,,1048.04,,,04-30
79,000972,*ST中基,,,3.23,,,50.64,,,04-30
80,000560,昆百大A,,,0.03,,,-871.73,,,04-30
81,600835,上海机电,,,5.17,,,6903.47,,,04-30
82,600888,新疆众和,,,2.34,,,638.05,,,04-30
83,000066,中国长城,,,2.59,,,426.33,,,04-30
84,600623,华谊集团,,,1.18,,,-2977.2,,,04-30
85,600643,爱建集团,,,4.19,,,-7916.03,,,04-30
86,600681,百川能源,,,1.81,,,223.82,,,04-30
87,600770,综艺股份,,,2.2,,,597.34,,,04-30
88,600252,中恒集团,,,3.09,,,89.72,,,04-30
89,600789,鲁抗医药,,,3.22,,,1443.54,,,04-30
90,000661,长春高新,,,3.43,,,-142.49,,,04-30
91,600275,*ST昌鱼,,,3.05,,,679.78,,,04-30
92,000701,厦门信达,,,2.34,,,101.49,,,04-30
93,600363,联创光电,,,3.67,,,403.35,,,04-30
94,600876,洛阳玻璃,,,2.19,,,-2793.0,,,04-30
95,600893,中航动力,,,2.13,,,93.71,,,04-30
96,000011,深物业A,,,0.57,,,8.0,-100.56,,04-30
97,000837,秦川机床,,,1.91,,,325.3,,,04-30
98,600038,中直股份,,,4.44,,,-443.71,,,04-30
99,000876,新希望,,,5.4,,,1785.71,,,04-30
100,600630,龙头股份,,,3.86,,,1218.15,,,04-30
101,600649,城投控股,,,2.57,,,9813.79,,,04-30
102,600137,浪莎股份,,,2.16,,,-1504.02,,,04-30
103,600183,生益科技,,,2.01,,,1492.83,,,04-30
104,600725,ST云维,,,3.42,,0.01,800.25,,,04-30
105,600741,华域汽车,,,2.84,,,4454.34,,,04-30
106,000616,海航投资,,,3.25,,,-106.09,,,04-30
107,600259,广晟有色,,,1.99,,,-861.14,,,04-30
108,600794,保税科技,,,2.67,,,180.03,,,04-30
109,600369,西南证券,,,3.27,,,382.95,,,04-30
110,600007,中国国贸,,,2.74,,,4654.3,,,04-30
111,600600,青岛啤酒,,,3.02,,,5557.77,,,04-30
112,600617,国新能源,,,1.7,,,8.99,,,04-30
113,000521,美菱电器,,,2.5,,,427.13,,,04-30
114,000603,盛达矿业,,,0.19,,,-218.49,,,04-30
115,600266,北京城建,,,2.54,,,690.84,,,04-30
116,600817,*ST宏盛,,,1.37,,,314.9,,,04-30
117,000713,丰乐种业,,,2.75,,,150.26,,,04-30
118,000040,东旭蓝天,,,2.2,,,-2481.14,,,04-30
119,600130,波导股份,,,5.35,,,2261.48,,,04-30
120,000022,深赤湾A,,,3.03,,,4059.33,,,04-30
121,000039,中集集团,,,7.29,,,7698.8,,,04-30
122,000539,粤电力A,,,2.39,,,30254.23,,,04-30
123,000545,金浦钛业,,,1.04,,,-147.0,,,04-30
124,600750,江中药业,,,3.68,,,1300.7,,,04-30
125,600270,外运发展,,,5.52,,,5251.84,,,04-30
126,600838,上海九百,,,1.45,,,302.51,,,04-30
127,600874,创业环保,,,1.22,,,5683.0,,,04-30
128,600891,秋林集团,,,2.23,,,-662.9,,,04-30
129,600422,昆药集团,,,5.39,,,992.53,,,04-30
130,000028,国药一致,,,1.23,,,77.78,,,04-30
131,600036,招商银行,,,,,,33693.4,,,04-30
132,000046,泛海控股,,,3.95,,,69.54,,,04-30
133,600826,兰生股份,,,2.83,,,472.66,,,04-30
134,600845,宝信软件,,,1.04,,,818.22,-223.94,,04-30
135,600336,澳柯玛,,,3.54,,,1973.18,,,04-30
136,000752,西藏发展,,,2.03,,,588.03,,,04-30
137,600615,丰华股份,,,3.54,,,-815.17,,,04-30
138,000407,胜利股份,,,2.24,,,221.21,,,04-30
139,000919,金陵药业,,,3.93,,,2510.16,,,04-30
140,000981,银亿股份,,,4.18,,,607.71,,,04-30
141,000557,西部创业,,,-1.7,,,-2012.06,,,04-30
142,000620,新华联,,,2.14,,,-349.39,,,04-30
143,000021,深科技,,,3.11,,,1181.93,,,04-30
144,600058,五矿发展,,,4.42,,,2852.64,,,04-30
145,600603,广汇物流,,,0.04,,,-930.21,,,04-30
146,600658,电子城,,,1.65,,,41.66,,,04-30
147,000498,山东路桥,,,1.3,,,-954.56,,,04-30
148,000519,中兵红箭,,,2.3,,,180.96,,,04-30
149,000587,金洲慈航,,,2.5,,,347.2,,,04-30
150,600784,鲁银投资,,,2.29,,,114.56,,,04-30
151,600837,海通证券,,,3.72,,,828.52,,,04-30
152,000027,深圳能源,,,2.69,,,10260.1,,,04-30
153,600033,福建高速,,,3.54,,,7452.35,,,04-30
154,600609,金杯汽车,,,1.4,,,-2109.26,,,04-30
155,000544,中原环保,,,0.14,,,-1013.18,,,04-30
156,600722,金牛化工,,,2.31,,,227.64,,,04-29
157,000703,恒逸石化,,,2.53,,,222.72,,,04-29
158,600315,上海家化,,,4.01,,,1238.34,,,04-29
159,000751,锌业股份,,,3.08,,,5837.56,,,04-29
160,600366,宁波韵升,,,3.0,,,1201.13,,,04-29
161,600104,上汽集团,,,3.27,,,10302.48,,,04-29
162,600688,上海石化,,,1.86,,,-16595.1,,,04-29
163,000555,神州信息,,,1.14,,,-446.34,,,04-29
164,600239,云南城投,,,3.4,,,322.33,,,04-29
165,000728,国元证券,,,2.61,,,-1916.31,,,04-29
166,000995,*ST皇台,,,3.29,,,71.45,,,04-29
167,600210,紫江企业,,,2.77,,,4388.73,,,04-29
168,600836,界龙实业,,,1.81,,,29.33,,,04-29
169,000716,黑芝麻,,,2.34,,,-622.69,,,04-29
170,600028,中国石化,,,1.71,,,10200.0,,,04-29
171,000567,海德股份,,,0.2,,,-518.15,,,04-29
172,600295,鄂尔多斯,,,5.8,,,6586.27,,,04-29
173,600843,上工申贝,,,2.03,,,1010.63,,,04-29
174,000721,西安饮食,,,2.33,,,272.52,,,04-29
175,600456,宝钛股份,,,1.35,,,945.33,,,04-29
176,600068,葛洲坝,,,4.63,,,1116.13,,,04-29
177,600120,浙江东方,,,3.2,,,2696.0,,,04-29
178,600202,哈空调,,,1.6,,,449.54,,,04-29
179,600238,海南椰岛,,,2.55,,,1075.09,,,04-29
180,000008,神州高铁,,,-0.69,,,-179.94,,,04-29
181,600519,贵州茅台,,,10.95,,,20644.83,,,04-29
182,600645,中源协和,,,1.44,,,94.82,,,04-29
183,600749,西藏旅游,,,0.99,,,-418.93,,,04-29
184,000703,恒逸石化,,,2.53,,,222.72,,,04-29
185,600315,上海家化,,,4.01,,,1238.34,,,04-29
186,000751,锌业股份,,,3.08,,,5837.56,,,04-29
187,600366,宁波韵升,,,3.0,,,1201.13,,,04-29
188,600104,上汽集团,,,3.27,,,10302.48,,,04-29
189,600688,上海石化,,,1.86,,,-16595.1,,,04-29
190,600722,金牛化工,,,2.31,,,227.64,,,04-29
191,600239,云南城投,,,3.4,,,322.33,,,04-29
192,000728,国元证券,,,2.61,,,-1916.31,,,04-29
193,000555,神州信息,,,1.14,,,-446.34,,,04-29
194,600836,界龙实业,,,1.81,,,29.33,,,04-29
195,000716,黑芝麻,,,2.34,,,-622.69,,,04-29
196,600028,中国石化,,,1.71,,,10200.0,,,04-29
197,000995,*ST皇台,,,3.29,,,71.45,,,04-29
198,600210,紫江企业,,,2.77,,,4388.73,,,04-29
199,600295,鄂尔多斯,,,5.8,,,6586.27,,,04-29
200,600843,上工申贝,,,2.03,,,1010.63,,,04-29
201,000721,西安饮食,,,2.33,,,272.52,,,04-29
202,600456,宝钛股份,,,1.35,,,945.33,,,04-29
203,600068,葛洲坝,,,4.63,,,1116.13,,,04-29
204,600120,浙江东方,,,3.2,,,2696.0,,,04-29
205,000567,海德股份,,,0.2,,,-518.15,,,04-29
206,600238,海南椰岛,,,2.55,,,1075.09,,,04-29
207,600829,人民同泰,,,3.76,,,-420.4,,,04-29
208,600319,亚星化学,,,3.17,,,1133.97,,,04-29
209,600866,星湖科技,,,2.37,,,1832.39,,,04-29
210,600393,粤泰股份,,,2.13,,,392.36,,,04-29
211,600073,上海梅林,,,2.44,,,150.51,,,04-29
212,600638,新黄浦,,,3.73,,,1076.34,,,04-29
213,600202,哈空调,,,1.6,,,449.54,,,04-29
214,000652,泰达股份,,,4.36,,,1133.57,,,04-29
215,600818,中路股份,,,0.5,,,5669.67,,,04-29
216,600871,石化油服,,,2.19,,,-5550.7,,,04-29
217,600019,宝钢股份,,,2.15,,0.18,54781.63,,,04-29
218,600606,绿地控股,,,1.79,,,950.93,,,04-29
219,000585,东北电气,,,0.37,,,-977.63,,,04-29
220,600332,白云山,,,2.75,,,5196.25,,,04-29
221,600385,山东金泰,,,1.4,,,173.91,,,04-29
222,600612,老凤祥,,,1.75,,,89.69,,,04-29
223,600703,三安光电,,,1.33,,,121.84,,,04-29
224,000566,海南海药,,,-1.26,,,-551.6,,,04-29
225,600776,东方通信,,,5.83,,,665.62,,,04-29
226,600548,深高速,,,2.37,,,9608.99,,,04-29
227,600072,中船科技,,,3.49,,,331.16,,,04-29
228,000150,宜华健康,,,2.06,,,-92.13,,,04-29
229,600107,美尔雅,,,2.39,,,256.63,,,04-29
230,600654,*ST中安,,,2.76,,,255.6,,,04-29
231,000966,长源电力,,,2.29,,,895.07,,,04-29
232,000572,海马汽车,,,0.23,,,-255.95,,,04-29
233,600060,海信电器,,,4.51,,,1413.99,,,04-29
234,600077,宋都股份,,,2.73,,,-965.72,,,04-29
235,600769,祥龙电业,,,2.41,,,-1212.7,,,04-29
236,000738,航发控制,,,1.62,,,-1628.6,,,04-29
237,600100,同方股份,,,4.68,,,2654.28,,,04-29
238,000685,中山公用,,,2.24,,,85.35,,,04-29
239,600827,百联股份,,,2.37,,,1525.83,,,04-29
240,000601,韶能股份,,,4.57,,,1806.52,,,04-29
241,600322,天房发展,,,3.87,,,31.88,,,04-29
242,600641,万业企业,,,4.11,,,519.27,,,04-29
243,600679,上海凤凰,,,1.88,,,831.9,,,04-29
244,000628,高新发展,,,2.66,,,-1376.65,,,04-27
245,000698,沈阳化工,,,3.46,,,433.05,,,04-27
246,600330,天通股份,,,2.45,,,1179.12,,,04-27
247,600628,新世界,,,3.16,,,2220.61,,,04-27
248,600689,上海三毛,,,2.42,,,73.75,,,04-27
249,600739,辽宁成大,,,3.28,,,1050.21,,,04-27
250,000633,*ST合金,,,1.39,,,1161.12,,,04-27
251,000683,远兴能源,,,1.19,,,121.91,,,04-27
252,600468,百利电气,,,3.07,,,20.85,,,04-27
253,600000,浦发银行,,,,,,26574.6,,,04-27
254,600053,九鼎投资,,,2.16,,,-612.88,,,04-27
255,000056,皇庭国际,,,1.69,,,89.33,,,04-27
256,600086,东方金钰,,,1.42,,,325.54,,,04-27
257,000426,兴业矿业,,,4.59,,,878.75,,,04-27
258,600122,宏图高科,,,2.95,,,119.62,,,04-27
259,600797,浙大网新,,,2.83,,,1974.85,,,04-27
260,000690,宝新能源,,,1.71,,,943.48,,,04-27
261,600321,国栋建设,,,6.05,,,895.92,,,04-27
262,600156,华升股份,,,2.76,,,460.33,,,04-27
263,600733,S*ST前锋,,,1.29,,,-755.94,,,04-27
264,000656,金科股份,,,1.21,,,-649.8,,,04-27
265,600329,中新药业,,,4.03,,,4055.85,,,04-27
266,600873,梅花生物,,,1.9,,,-884.2,,,04-27
267,000069,华侨城A,,,2.24,,,1993.21,,,04-27
268,600664,哈药股份,,,,,,7461.37,,,04-27
269,000505,*ST珠江,,,1.02,,,-381.18,,,04-27
